,Actual_Close,Predicted_Close
2020-01-27,5.9793806076049805,
2020-01-28,6.172801494598389,
2020-01-29,6.112311363220215,
2020-01-30,6.119032382965088,
2020-01-31,5.885531425476074,
2020-02-03,5.982617378234863,
2020-02-04,6.151889801025391,
2020-02-05,6.242254734039307,
2020-02-06,6.329131603240967,
2020-02-07,6.26291561126709,
2020-02-10,6.546203136444092,
2020-02-11,6.66867733001709,
2020-02-12,6.784430503845215,
2020-02-13,6.740618705749512,
2020-02-14,7.213841438293457,
2020-02-18,7.382617950439453,
2020-02-19,7.833934307098389,
2020-02-20,7.684574127197266,
2020-02-21,7.32038402557373,
2020-02-24,6.80285120010376,
2020-02-25,6.523299694061279,
2020-02-26,6.662701606750488,
2020-02-27,6.291820049285889,
2020-02-28,6.72696590423584,
2020-03-02,6.885382652282715,
2020-03-03,6.62285041809082,
2020-03-04,7.086640357971191,
2020-03-05,6.807170867919922,
2020-03-06,6.626586437225342,
2020-03-09,6.113476753234863,
2020-03-10,6.503040313720703,
2020-03-11,6.139131546020508,
2020-03-12,5.387898921966553,
2020-03-13,5.998898506164551,
2020-03-16,4.8919758796691895,
2020-03-17,5.411810874938965,
2020-03-18,5.051886558532715,
2020-03-19,5.3047051429748535,
2020-03-20,5.124868869781494,
2020-03-23,5.297732353210449,
2020-03-24,6.2066330909729,
2020-03-25,6.117959499359131,
2020-03-26,6.407393455505371,
2020-03-27,6.295056343078613,
2020-03-30,6.615377902984619,
2020-03-31,6.565808773040772,
2020-04-01,6.054443836212158,
2020-04-02,6.363305568695068,
2020-04-03,6.075366497039795,
2020-04-06,6.68536901473999,
2020-04-07,6.451979160308838,
2020-04-08,6.649251461029053,
2020-04-09,6.549619197845459,
2020-04-13,6.721485137939453,
2020-04-14,7.072692394256592,
2020-04-15,6.995227336883545,
2020-04-16,7.340456008911133,
2020-04-17,7.281175136566162,
2020-04-20,7.14990758895874,
2020-04-21,6.713016510009766,
2020-04-22,7.127490043640137,
2020-04-23,7.074186325073242,
2020-04-24,7.213174343109131,
2020-04-27,7.399736404418945,
2020-04-28,7.257262706756592,
2020-04-29,7.434110641479492,
2020-04-30,7.280177116394043,
2020-05-01,7.043549537658691,
2020-05-04,7.255518913269043,
2020-05-05,7.316543579101562,
2020-05-06,7.417421340942383,
2020-05-07,7.593771457672119,
2020-05-08,7.783822536468506,
2020-05-11,8.035893440246582,
2020-05-12,7.773859024047852,
2020-05-13,7.751441478729248,
2020-05-14,8.001022338867188,
2020-05-15,8.45958423614502,
2020-05-18,8.718130111694336,
2020-05-19,8.773175239562988,
2020-05-20,8.937070846557617,
2020-05-21,8.743040084838867,
2020-05-22,8.99311637878418,
2020-05-26,8.685749053955078,
2020-05-27,8.4939546585083,
2020-05-28,8.455846786499023,
2020-05-29,8.842920303344727,
2020-06-01,8.773923873901367,
2020-06-02,8.792855262756348,
2020-06-03,8.737309455871582,
2020-06-04,8.73830509185791,
2020-06-05,8.891311645507812,
2020-06-08,8.77668285369873,
2020-06-09,9.016907691955566,
2020-06-10,9.336626052856444,
2020-06-11,8.767960548400879,
2020-06-12,8.90377140045166,
2020-06-15,9.144246101379396,
2020-06-16,9.039335250854492,
2020-06-17,9.206298828125,
2020-06-18,9.188353538513184,
2020-06-19,9.231465339660645,
2020-06-22,9.496111869812012,
