,Actual_Close,Predicted_Close
2020-06-30,195.33799743652344,
2020-07-01,196.48019409179688,
2020-07-02,197.9775238037109,
2020-07-06,202.2392578125,
2020-07-07,199.8876342773437,
2020-07-08,204.28372192382807,
2020-07-09,205.7139129638672,
2020-07-10,205.08999633789065,
2020-07-13,198.7550048828125,
2020-07-14,199.983642578125,
2020-07-15,199.68603515625,
2020-07-16,195.73147583007807,
2020-07-17,194.73326110839844,
2020-07-20,203.1031188964844,
2020-07-21,200.3675994873047,
2020-07-22,203.24710083007807,
2020-07-23,194.40689086914065,
2020-07-24,193.2167053222656,
2020-07-27,195.664306640625,
2020-07-28,193.90774536132807,
2020-07-29,195.86587524414065,
2020-07-30,195.7122802734375,
2020-07-31,196.77772521972656,
2020-08-03,207.8447113037109,
2020-08-04,204.7252349853516,
2020-08-05,204.3893280029297,
2020-08-06,207.66238403320312,
2020-08-07,203.94778442382807,
2020-08-10,199.8876342773437,
2020-08-11,195.2132110595703,
2020-08-12,200.78990173339844,
2020-08-13,200.31954956054688,
2020-08-14,200.51150512695312,
2020-08-17,201.83609008789065,
2020-08-18,202.9974975585937,
2020-08-19,201.7659454345703,
2020-08-20,206.46131896972656,
2020-08-21,204.9603576660156,
2020-08-24,205.60498046875,
2020-08-25,208.27980041503903,
2020-08-26,212.78273010253903,
2020-08-27,218.0072631835937,
2020-08-28,220.24913024902344,
2020-08-31,216.9970092773437,
2020-09-01,218.6712188720703,
2020-09-02,222.88546752929688,
2020-09-03,209.07839965820312,
2020-09-04,206.143783569336,
2020-09-08,194.99234008789065,
2020-09-09,203.29579162597656,
2020-09-10,197.5997772216797,
2020-09-11,196.3104858398437,
2020-09-14,197.6382598876953,
2020-09-15,200.8807678222656,
2020-09-16,197.29188537597656,
2020-09-17,195.2328491210937,
2020-09-18,192.8082275390625,
2020-09-21,194.8768615722656,
2020-09-22,199.5722198486328,
2020-09-23,193.00059509277344,
2020-09-24,195.5022735595703,
2020-09-25,199.95709228515625,
2020-09-28,201.5157928466797,
2020-09-29,199.41827392578125,
2020-09-30,202.37213134765625,
2020-10-01,204.42153930664065,
2020-10-02,198.3887939453125,
2020-10-05,202.42022705078125,
2020-10-06,198.11935424804688,
2020-10-07,201.8910217285156,
2020-10-08,202.6126708984375,
2020-10-09,207.6447906494141,
2020-10-12,213.02328491210932,
2020-10-13,214.42803955078125,
2020-10-14,212.50369262695312,
2020-10-15,211.34912109375,
2020-10-16,211.34912109375,
2020-10-19,206.1149139404297,
2020-10-20,206.52865600585932,
2020-10-21,206.6729888916016,
2020-10-22,206.75958251953125,
2020-10-23,208.04885864257807,
2020-10-26,202.131576538086,
2020-10-27,205.1816253662109,
2020-10-28,195.0115203857422,
2020-10-29,196.974365234375,
2020-10-30,194.8095092773437,
2020-11-02,194.67477416992188,
2020-11-03,198.61968994140625,
2020-11-04,208.20281982421875,
2020-11-05,214.84176635742188,
2020-11-06,215.25552368164065,
2020-11-09,210.127197265625,
2020-11-10,203.02638244628903,
2020-11-11,208.3568115234375,
2020-11-12,207.28875732421875,
2020-11-13,208.3182983398437,
2020-11-16,209.01107788085932,
2020-11-17,206.34588623046875,
2020-11-18,203.62545776367188,
2020-11-19,204.9181365966797,
2020-11-20,202.95982360839844,
2020-11-23,202.6897125244141,
2020-11-24,206.3072509765625,
2020-11-25,206.31689453125,
2020-11-27,207.62890625,
2020-11-30,206.5098419189453,
2020-12-01,208.5743103027344,
2020-12-02,207.763916015625,
2020-12-03,206.67385864257807,
2020-12-04,206.78961181640625,
2020-12-07,206.7220764160156,
2020-12-08,208.38137817382807,
2020-12-09,204.3200225830078,
2020-12-10,203.08523559570312,
2020-12-11,205.7284698486328,
2020-12-14,206.63526916503903,
2020-12-15,206.5677490234375,
2020-12-16,211.5358428955078,
2020-12-17,211.67092895507807,
2020-12-18,210.8702087402344,
2020-12-21,214.72897338867188,
2020-12-22,216.03128051757807,
2020-12-23,213.2144012451172,
2020-12-24,214.8832855224609,
2020-12-28,217.0152587890625,
2020-12-29,216.2338714599609,
2020-12-30,213.85108947753903,
2020-12-31,214.56497192382807,
2021-01-04,210.0020294189453,
2021-01-05,210.2046356201172,
2021-01-06,204.75411987304688,
2021-01-07,210.5808563232422,
2021-01-08,211.8638916015625,
2021-01-11,209.80908203125,
2021-01-12,207.3394775390625,
2021-01-13,208.69967651367188,
2021-01-14,205.49691772460932,
2021-01-15,205.13999938964844,
2021-01-19,208.7961578369141,
2021-01-20,216.4171905517578,
2021-01-21,217.0248870849609,
2021-01-22,217.9702911376953,
2021-01-25,221.4238739013672,
2021-01-26,224.1249847412109,
2021-01-27,224.6748504638672,
2021-01-28,230.49188232421875,
2021-01-29,223.7680511474609,
2021-02-01,231.18649291992188,
2021-02-02,231.0514068603516,
2021-02-03,234.4181671142578,
2021-02-04,233.463119506836,
2021-02-05,233.6464080810547,
2021-02-08,233.9068603515625,
2021-02-09,235.1609649658203,
2021-02-10,234.2445068359375,
2021-02-11,235.8555145263672,
2021-02-12,236.33786010742188,
2021-02-16,235.09344482421875,
2021-02-17,236.1183319091797,
2021-02-18,235.721908569336,
2021-02-19,232.9952392578125,
2021-02-22,226.74903869628903,
2021-02-23,225.55007934570312,
2021-02-24,226.7877197265625,
2021-02-25,221.41172790527344,
2021-02-26,224.6895294189453,
2021-03-01,229.0986328125,
2021-03-02,226.13023376464844,
2021-03-03,220.029037475586,
2021-03-04,219.2264862060547,
2021-03-05,223.93536376953125,
2021-03-08,219.86463928222656,
2021-03-09,226.04318237304688,
2021-03-10,224.72821044921875,
2021-03-11,229.2823486328125,
2021-03-12,227.947998046875,
2021-03-15,227.03909301757807,
2021-03-16,229.84315490722656,
2021-03-17,229.1953125,
2021-03-18,223.0844573974609,
2021-03-19,222.7267608642578,
2021-03-22,228.18006896972656,
2021-03-23,229.71743774414065,
2021-03-24,227.66758728027344,
2021-03-25,224.65084838867188,
2021-03-26,228.65383911132807,
2021-03-29,227.4548797607422,
2021-03-30,224.17706298828125,
2021-03-31,227.96734619140625,
2021-04-01,234.32958984375,
2021-04-05,240.82717895507807,
2021-04-06,239.65724182128903,
2021-04-07,241.6297149658203,
2021-04-08,244.8688507080078,
2021-04-09,247.3828125,
2021-04-12,247.4408264160156,
2021-04-13,249.93540954589844,
2021-04-14,247.1313934326172,
2021-04-15,250.91200256347656,
2021-04-16,252.11099243164065,
2021-04-19,250.1771545410156,
2021-04-20,249.71307373046875,
2021-04-21,251.9562530517578,
2021-04-22,248.6591186523437,
2021-04-23,252.50733947753903,
2021-04-26,252.89414978027344,
2021-04-27,253.3002166748047,
2021-04-28,246.1355133056641,
2021-04-29,244.1533050537109,
2021-04-30,243.8342437744141,
2021-05-03,243.52487182617188,
2021-05-04,239.58956909179688,
2021-05-05,238.313232421875,
2021-05-06,241.46536254882807,
2021-05-07,244.10499572753903,
2021-05-10,238.99972534179688,
2021-05-11,238.0811462402344,
2021-05-12,231.0904541015625,
2021-05-13,234.987060546875,
2021-05-14,239.9376220703125,
2021-05-17,237.06591796875,
2021-05-18,235.035400390625,
2021-05-19,235.6168975830078,
2021-05-20,238.87322998046875,
2021-05-21,237.6036529541016,
2021-05-24,243.0404815673828,
2021-05-25,243.95152282714844,
2021-05-26,243.7285614013672,
2021-05-27,241.61587524414065,
2021-05-28,241.9744415283203,
2021-06-01,239.7648162841797,
2021-06-02,239.6679077148437,
2021-06-03,238.126953125,
2021-06-04,243.05018615722656,
2021-06-07,245.9769744873047,
2021-06-08,244.77523803710932,
2021-06-09,245.7638092041016,
2021-06-10,249.30113220214844,
2021-06-11,249.9311065673828,
2021-06-14,251.86932373046875,
2021-06-15,250.38653564453125,
2021-06-16,249.436767578125,
2021-06-17,252.84820556640625,
2021-06-18,251.4235382080078,
2021-06-21,254.5248565673828,
2021-06-22,257.31591796875,
2021-06-23,257.0832824707031,
2021-06-24,258.4595031738281,
2021-06-25,256.841064453125,
2021-06-28,260.4268493652344,
2021-06-29,263.0241394042969,
2021-06-30,262.5395812988281,
2021-07-01,263.21795654296875,
2021-07-02,269.08123779296875,
2021-07-06,269.09100341796875,
2021-07-07,271.2908935546875,
2021-07-08,268.8583374023437,
2021-07-09,269.3622741699219,
2021-07-12,268.7614440917969,
2021-07-13,272.30841064453125,
2021-07-14,273.79132080078125,
2021-07-15,272.35693359375,
2021-07-16,272.0855712890625,
2021-07-19,268.4610900878906,
2021-07-20,270.6996459960937,
2021-07-21,272.7154846191406,
2021-07-22,277.3092346191406,
2021-07-23,280.73028564453125,
2021-07-26,280.1294860839844,
2021-07-27,277.69683837890625,
2021-07-28,277.38671875,
2021-07-29,277.6581115722656,
2021-07-30,276.1171875,
2021-08-02,276.02996826171875,
2021-08-03,278.2590026855469,
2021-08-04,277.6678161621094,
2021-08-05,280.5849304199219,
2021-08-06,280.5267639160156,
2021-08-09,279.4316101074219,
2021-08-10,277.5999755859375,
2021-08-11,278.09423828125,
2021-08-12,280.8659362792969,
2021-08-13,283.8121337890625,
2021-08-16,285.5081787109375,
2021-08-17,284.0350341796875,
2021-08-18,282.2970275878906,
2021-08-19,288.1617126464844,
2021-08-20,295.5316467285156,
2021-08-23,295.81317138671875,
2021-08-24,293.84210205078125,
2021-08-25,293.24981689453125,
2021-08-26,290.4144592285156,
2021-08-27,291.0262145996094,
2021-08-30,294.78399658203125,
2021-08-31,293.12359619140625,
2021-09-01,293.07501220703125,
2021-09-02,292.41473388671875,
2021-09-03,292.405029296875,
2021-09-07,291.4728088378906,
2021-09-08,291.50201416015625,
2021-09-09,288.6278686523437,
2021-09-10,287.1324462890625,
2021-09-13,288.3753662109375,
2021-09-14,291.0942077636719,
2021-09-15,295.9783020019531,
2021-09-16,296.36669921875,
2021-09-17,291.1719055175781,
2021-09-20,285.7633972167969,
2021-09-21,286.2489013671875,
2021-09-22,289.919189453125,
2021-09-23,290.870849609375,
2021-09-24,290.6669006347656,
2021-09-27,285.6372375488281,
2021-09-28,275.2961120605469,
2021-09-29,275.7621459960937,
2021-09-30,273.7425537109375,
2021-10-01,280.7142639160156,
2021-10-04,274.8979797363281,
2021-10-05,280.38409423828125,
2021-10-06,284.60791015625,
2021-10-07,286.2975158691406,
2021-10-08,286.2975158691406,
2021-10-11,285.6954345703125,
2021-10-12,284.38458251953125,
2021-10-13,287.7151184082031,
2021-10-14,293.96826171875,
2021-10-15,295.3859558105469,
2021-10-18,298.37664794921875,
2021-10-19,299.2893981933594,
2021-10-20,298.4931335449219,
2021-10-21,301.7460327148437,
2021-10-22,300.1924133300781,
2021-10-25,299.1922912597656,
2021-10-26,301.11480712890625,
2021-10-27,313.7959899902344,
2021-10-28,314.9418029785156,
2021-10-29,322.0008239746094,
2021-11-01,319.8161926269531,
2021-11-02,323.4671325683594,
2021-11-03,324.3118896484375,
2021-11-04,326.6810913085937,
2021-11-05,326.3121032714844,
2021-11-08,327.2151184082031,
2021-11-09,326.2053527832031,
2021-11-10,321.20458984375,
2021-11-11,322.7873840332031,
2021-11-12,326.9529724121094,
2021-11-15,326.32183837890625,
2021-11-16,329.6620483398437,
2021-11-17,329.8857116699219,
2021-11-18,331.9772033691406,
2021-11-19,333.7671203613281,
2021-11-22,330.57635498046875,
2021-11-23,328.4849548339844,
2021-11-24,328.7087097167969,
