date,calendarYear,period,revenue,grossProfit,netIncome,operatingIncome,eps,epsdiluted,researchAndDevelopmentExpenses,operatingExpenses,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,weightedAverageShsOutDil,Close,High,Low,Open,Volume,days_since_financial_update,price_change_pct,price_change,MA_5,MA_10,MA_20,MA_50,MA_200,RSI,returns,volatility_5d,volatility_10d,volatility_20d,PE_ratio,volume_change,volume_ma_5,momentum_5d,momentum_10d,momentum_20d,market_cap,price_to_sales
2020-06-30,2020.0,FY,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,195.33799743652344,196.19225866784495,189.7997038412005,189.934081518732,34310300.0,0,0.5847283530407976,1.1421966552734375,198.384521484375,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.005847283530407976,0.03088384944048724,0.049145973270185765,0.08676141988892287,33.563229800089935,-0.06555174393695185,32237120.0,0.04579613083323242,0.022259047275937638,0.0027023815875288903,1500781834304.8096,10.493877105931613
2020-07-01,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,196.48019409179688,198.06394652909336,193.66785633797363,194.98283880276517,32061200.0,1,0.5847283530407976,1.1421966552734375,198.384521484375,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.005847283530407976,0.03088384944048724,0.049145973270185765,0.08676141988892287,33.7594835209273,-0.06555174393695185,32237120.0,0.04579613083323242,0.022259047275937638,0.0027023815875288903,1509557331207.2754,10.555237780703251
2020-07-02,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,197.9775238037109,199.6668595185785,196.76812499098384,197.4208122291355,29315800.0,2,0.7620766657093547,1.497329711914034,198.384521484375,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.007620766657093547,0.03088384944048724,0.049145973270185765,0.08676141988892287,34.01675666730428,-0.08562998265816624,32237120.0,0.04579613083323242,0.022259047275937638,0.0027023815875288903,1521061315383.911,10.635676784840127
2020-07-06,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,202.2392578125,202.65199861364172,199.73406277703288,200.44435306598547,31897600.0,6,2.1526352723829856,4.261734008789091,198.384521484375,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.021526352723829856,0.03088384944048724,0.049145973270185765,0.08676141988892287,34.74901336984536,0.08806855006515257,32237120.0,0.04579613083323242,0.022259047275937638,0.0027023815875288903,1553804217773.4375,10.864624114767246
2020-07-07,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,199.88763427734372,206.049834738594,199.63807995851283,201.99928942933175,33600700.0,7,-1.1627928032333479,-2.3516235351562784,198.384521484375,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,-0.011627928032333479,0.03088384944048724,0.049145973270185765,0.08676141988892287,34.3449543431862,0.053392731741572996,32237120.0,0.04579613083323242,0.022259047275937638,0.0027023815875288903,1535736694152.8318,10.738291047462377
2020-07-08,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,204.28372192382807,204.6964480594897,200.3099659833893,201.63455617889085,33600000.0,8,2.199279441360935,4.396087646484347,200.17366638183591,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.02199279441360935,0.03088384944048724,0.049145973270185765,0.08676141988892287,35.1002958632007,-2.0832899314648934e-05,32095060.0,0.04579613083323242,0.022259047275937638,0.0027023815875288903,1569511835540.771,10.974456074822719
2020-07-09,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,205.7139129638672,207.69119060474213,202.97834984568297,207.6431954429014,33121700.0,9,0.7001003440560094,1.4301910400391193,202.02041015624997,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.007001003440560094,0.03075455410863064,0.049145973270185765,0.08676141988892287,35.34603315530364,-0.014235119047619094,32307160.0,0.04699567259057291,0.022259047275937638,0.0027023815875288903,1580499993301.3916,11.051288279560827
2020-07-10,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,205.08999633789065,205.4835361435776,202.60400230969236,205.0420011781126,26177600.0,10,-0.30329335385600453,-0.6239166259765341,203.44290466308593,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,-0.0030329335385600453,0.03322857564356656,0.049145973270185765,0.08676141988892287,35.238830985891866,-0.20965409384180156,31679520.0,0.03592565659742042,0.022259047275937638,0.0027023815875288903,1575706441864.014,11.017770456693452
2020-07-13,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,198.7550048828125,207.1344431504569,198.20788649530527,205.8674413979546,38135600.0,13,-3.0888836940837883,-6.334991455078153,202.74605407714841,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,-0.030888836940837883,0.044390386483301895,0.049145973270185765,0.08676141988892287,34.150344481582906,0.45680276266731856,32927120.0,-0.017228370828564987,0.022259047275937638,0.0027023815875288903,1527034702514.6484,10.677444341605066
2020-07-14,2021.0,,143015000000.0,96937000000.0,44281000000.0,52959000000.0,5.82,5.76,19269000000.0,43978000000.0,0.6778100199,0.3703038143,0.3096248645,7683000000.0,199.983642578125,200.46356491246556,193.9174172419484,197.8527862419677,37591800.0,14,0.618166921651575,1.2286376953125,202.7652557373047,200.57488861083985,198.99065628051758,202.96938751220702,212.4171466064453,60.52556792915432,0.0061816692165157505,0.04378805019601284,0.049145973270185765,0.08676141988892287,34.36145061479811,-0.014259641909396992,33725340.0,0.00048031135656989576,0.022259047275937638,0.0027023815875288903,1536474325927.7344,10.743448770602624
