Date,Close,High,Low,Open,Volume
2022-01-19,40.76061248779297,41.73110326131185,36.87864939371745,36.87864939371745,129900
2022-01-20,43.672096252441406,46.9426499796391,39.74160833014757,39.74160833014757,153400
2022-01-21,43.672096252441406,48.47602758063585,41.682590385811636,41.73111419677734,329500
2022-01-24,41.537010192871094,43.67209093454113,40.64416033300907,43.59444988474668,110000
2022-01-25,40.66162109375,43.59444357637775,40.110385268918336,41.24585769188502,23500
2022-01-26,41.94461441040039,43.73031766666053,41.0032371306487,43.681790163974576,90500
2022-01-27,44.409664154052734,48.15575980588509,42.45897897739933,45.865400576134995,151600
2022-01-28,45.370445251464844,46.195360957003665,42.84717063276959,43.2353647344996,43600
2022-01-31,46.58356475830078,46.58356475830078,44.64258289337158,44.64258289337158,71300
2022-02-01,48.311031341552734,48.5245405044535,45.661591874265014,46.09831347923082,298800
2022-02-02,51.44572448730469,54.57070658302731,48.33044937443605,48.55851534382477,23860900
2022-02-03,52.037715911865234,54.90066452618056,48.81568673640383,50.649913764962015,8425500
2022-02-04,48.66040802001953,52.72676683305532,48.640997759803845,51.04781449462008,6757800
2022-02-07,44.71051788330078,48.563368149217204,44.642583812799465,48.52454762260812,9432500
2022-02-08,44.1573371887207,46.15654983156991,42.86658247848998,43.79825658224373,7277500
2022-02-09,45.913917541503906,46.04978565068998,42.58513405793203,43.42945995225138,4393100
2022-02-10,45.661590576171875,47.068802951221734,44.040872746419545,44.167033882611925,2450000
2022-02-11,46.67090606689453,47.46670828379188,44.70081078629852,45.38015143331172,3456800
2022-02-14,46.69032669067383,47.554063163964265,45.60337771209382,46.767964052364704,2155000
2022-02-15,46.58356475830078,47.02028641833567,45.80717275275492,46.29241821898722,2359800
2022-02-16,45.807167053222656,47.03969082835208,45.5645443502947,46.31182271956823,5855300
2022-02-17,43.95353317260742,45.69071274931736,43.85648186260386,44.953137601806034,3142600
2022-02-18,44.06999206542969,44.54553424016303,43.4779920181178,43.81766605782134,2018700
2022-02-22,42.25517654418945,44.332026569743874,42.206652737468204,44.069993570894134,2611100
2022-02-23,41.818450927734375,42.691894174695996,40.93530440119709,42.40074395762292,2791200
2022-02-24,43.153358459472656,43.41625165934464,41.10863852395614,42.014158307643235,2447900
2022-02-25,42.754154205322266,43.74730512794285,42.588630908693546,43.1338876169131,2040700
2022-02-28,44.76966857910156,45.392821272678,41.34232505014813,42.16021388903796,5534900
2022-03-01,46.532020568847656,46.785174931971305,44.15624652372382,44.419139735976835,4212900
2022-03-02,48.15806198120117,48.975950783492834,46.08413271212253,46.7364944983056,3517100
2022-03-03,48.21648406982422,49.00516375380631,46.29541982123647,48.50858641838996,2072200
2022-03-04,49.657527923583984,49.6964758957363,46.979916123782886,47.875697197587755,2544600
2022-03-07,50.29042053222656,51.19594047531805,48.557272877708726,49.71595093084898,2726900
2022-03-08,50.94278335571289,53.86381452846837,49.51147689249208,49.83279210435112,3873700
2022-03-09,49.97883987426758,52.2669792324044,49.258317293409114,51.05961817413105,3050600
2022-03-10,49.9691047668457,50.28068111858217,47.97306760282048,49.23884699603527,2692700
2022-03-11,48.02174758911133,50.47541398521781,47.01886150430712,50.0664677287253,3034100
2022-03-14,49.608848571777344,50.49489457677456,47.31097004076477,50.49489457677456,2916600
2022-03-15,49.93989181518555,50.23199415825465,48.58648144468189,49.988574919983265,2117400
2022-03-16,50.40726089477539,51.02067847104875,49.02463756412723,50.34883893513116,2989800
2022-03-17,49.647789001464844,51.32251081918363,49.56989306310069,50.51436088721079,2244600
2022-03-18,47.719913482666016,50.056740030217405,47.59333813276718,49.31674706158673,9663900
2022-03-21,47.92438507080078,48.128856357659465,47.320702632051606,47.622543851426194,2452000
2022-03-22,49.79384231567383,50.67988825720932,48.69358624070676,49.02463657679051,3841900
2022-03-23,49.647789001464844,50.40725582910147,49.36542179631895,49.36542179631895,2396200
2022-03-24,51.03041076660156,51.19593778590466,49.430657960702284,49.832788517683525,2335200
2022-03-25,52.383819580078125,52.40329356494557,50.66041091927879,50.864885903245565,2441200
2022-03-28,55.285377502441406,55.35353459361105,52.62723980397673,52.94855498887609,3127000
2022-03-29,54.84722137451172,55.87931650788311,53.19196990724875,55.49958311245155,2201300
2022-03-30,55.98643112182617,56.26879836152075,54.23381315130391,54.69143884519581,1934100
2022-03-31,54.76932907104492,57.524836654275035,54.31169971068079,56.80431406865595,3817600
