,Actual_Close,Predicted_Close
2022-01-19,40.76061248779297,
2022-01-20,43.672096252441406,
2022-01-21,43.672096252441406,
2022-01-24,41.53701019287109,
2022-01-25,40.66162109375,
2022-01-26,41.94461441040039,
2022-01-27,44.409664154052734,
2022-01-28,45.37044525146485,
2022-01-31,46.58356475830078,
2022-02-01,48.311031341552734,
2022-02-02,51.44572448730469,
2022-02-03,52.037715911865234,
2022-02-04,48.66040802001953,
2022-02-07,44.71051788330078,
2022-02-08,44.1573371887207,
2022-02-09,45.91391754150391,
2022-02-10,45.66159057617188,
2022-02-11,46.67090606689453,
2022-02-14,46.69032669067383,
2022-02-15,46.58356475830078,
2022-02-16,45.807167053222656,
2022-02-17,43.95353317260742,
2022-02-18,44.06999206542969,
2022-02-22,42.25517654418945,
2022-02-23,41.818450927734375,
2022-02-24,43.153358459472656,
2022-02-25,42.754154205322266,
2022-02-28,44.76966857910156,
2022-03-01,46.532020568847656,
2022-03-02,48.15806198120117,
2022-03-03,48.21648406982422,
2022-03-04,49.657527923583984,
2022-03-07,50.29042053222656,
2022-03-08,50.94278335571289,
2022-03-09,49.97883987426758,
2022-03-10,49.9691047668457,
2022-03-11,48.02174758911133,
2022-03-14,49.608848571777344,
2022-03-15,49.93989181518555,
2022-03-16,50.40726089477539,
2022-03-17,49.64778900146485,
2022-03-18,47.719913482666016,
2022-03-21,47.92438507080078,
2022-03-22,49.79384231567383,
2022-03-23,49.64778900146485,
2022-03-24,51.03041076660156,
2022-03-25,52.383819580078125,
2022-03-28,55.285377502441406,
2022-03-29,54.84722137451172,
2022-03-30,55.98643112182617,
2022-03-31,54.76932907104492,
2022-04-01,56.49273681640625,
2022-04-04,56.843257904052734,
2022-04-05,57.44694519042969,
2022-04-06,58.03114318847656,
2022-04-07,59.30666732788086,
2022-04-08,62.33479690551758,
2022-04-11,59.08272552490234,
2022-04-12,60.24139404296875,
2022-04-13,62.51006317138672,
2022-04-14,60.90349960327149,
2022-04-18,61.64348983764648,
2022-04-19,64.95398712158203,
2022-04-20,63.6882209777832,
2022-04-21,61.02032852172852,
2022-04-22,60.78665542602539,
2022-04-25,60.63086700439453,
2022-04-26,58.37193298339844,
2022-04-27,58.50825500488281,
