,Actual_Close,Predicted_Close
2021-02-01,484.0400085449219,
2021-02-02,480.1799926757813,
2021-02-03,474.6199951171875,
2021-02-04,487.760009765625,
2021-02-05,486.9299926757813,
2021-02-08,500.010009765625,
2021-02-09,498.4500122070313,
2021-02-10,498.0199890136719,
2021-02-11,506.0799865722656,
2021-02-12,491.8999938964844,
2021-02-16,487.30999755859375,
2021-02-17,483.6900024414063,
2021-02-18,487.6400146484375,
2021-02-19,505.2000122070313,
2021-02-22,500.5199890136719,
2021-02-23,502.8699951171875,
2021-02-24,509.25,
2021-02-25,473.0799865722656,
2021-02-26,490.3699951171875,
2021-03-01,505.9599914550781,
2021-03-02,487.3399963378906,
2021-03-03,460.010009765625,
2021-03-04,446.9299926757813,
2021-03-05,449.0199890136719,
2021-03-08,441.4599914550781,
2021-03-09,458.1700134277344,
2021-03-10,460.8699951171875,
2021-03-11,474.3200073242188,
2021-03-12,471.989990234375,
2021-03-15,465.30999755859375,
2021-03-16,475.4400024414063,
2021-03-17,477.0299987792969,
2021-03-18,485.8800048828125,
2021-03-19,515.6099853515625,
2021-03-22,528.6599731445312,
2021-03-23,508.5,
2021-03-24,485.1099853515625,
2021-03-25,529.0800170898438,
2021-03-26,578.1799926757812,
2021-03-29,565.9000244140625,
2021-03-30,600.0,
2021-03-31,596.5999755859375,
2021-04-01,595.6300048828125,
2021-04-05,592.9299926757812,
2021-04-06,607.469970703125,
2021-04-07,587.5599975585938,
2021-04-08,600.969970703125,
2021-04-09,613.1599731445312,
2021-04-12,600.8599853515625,
2021-04-13,596.3400268554688,
2021-04-14,602.6699829101562,
2021-04-15,614.75,
2021-04-16,634.5,
2021-04-19,641.4400024414062,
2021-04-20,636.0,
2021-04-21,657.0,
2021-04-22,654.3599853515625,
2021-04-23,687.989990234375,
2021-04-26,688.5,
2021-04-27,712.3900146484375,
2021-04-28,720.010009765625,
2021-04-29,705.4500122070312,
2021-04-30,688.02001953125,
2021-05-03,699.0499877929688,
2021-05-04,687.2000122070312,
2021-05-05,681.1599731445312,
2021-05-06,684.969970703125,
2021-05-07,701.0,
2021-05-10,680.3099975585938,
2021-05-11,653.4299926757812,
2021-05-12,625.010009765625,
2021-05-13,629.6500244140625,
2021-05-14,649.8200073242188,
2021-05-17,633.3099975585938,
2021-05-18,628.1199951171875,
2021-05-19,616.3099975585938,
2021-05-20,609.8800048828125,
2021-05-21,605.9299926757812,
2021-05-24,615.1099853515625,
2021-05-25,638.0,
2021-05-26,638.5999755859375,
2021-05-27,644.010009765625,
2021-05-28,641.0499877929688,
2021-06-01,636.3400268554688,
2021-06-02,623.3099975585938,
2021-06-03,611.5399780273438,
2021-06-04,613.219970703125,
2021-06-07,624.4199829101562,
2021-06-08,628.8300170898438,
2021-06-09,611.3300170898438,
2021-06-10,707.1400146484375,
2021-06-11,682.52001953125,
2021-06-14,675.3099975585938,
2021-06-15,662.3499755859375,
2021-06-16,657.77001953125,
2021-06-17,656.5499877929688,
2021-06-18,653.4199829101562,
2021-06-21,680.719970703125,
2021-06-22,676.739990234375,
2021-06-23,685.4500122070312,
