date,calendarYear,period,revenue,grossProfit,netIncome,operatingIncome,eps,epsdiluted,researchAndDevelopmentExpenses,operatingExpenses,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,weightedAverageShsOutDil,Close,High,Low,Open,Volume,days_since_financial_update,price_change_pct,price_change,MA_5,MA_10,MA_20,MA_50,MA_200,RSI,returns,volatility_5d,volatility_10d,volatility_20d,PE_ratio,volume_change,volume_ma_5,momentum_5d,momentum_10d,momentum_20d,market_cap,price_to_sales
2020-12-31,2020.0,FY,31536000000.0,6630000000.0,721000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,235.22332763671875,239.5733337402344,230.3733367919922,233.3300018310547,148949700.0,0,3.415197180829077,8.033340454101562,249.50466613769532,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.03415197180829077,0.07171471524309737,0.15134827093003822,0.18172048437349045,940.893310546875,-0.020376677495825724,136039320.0,0.24707017490598493,0.17074552291069356,0.19008892033755953,764240591491.6992,24.23391018175099
2021-01-04,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,243.2566680908203,248.163330078125,239.06333923339844,239.82000732421875,145914600.0,4,3.415197180829077,8.033340454101562,249.50466613769532,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.03415197180829077,0.07171471524309737,0.15134827093003822,0.18172048437349045,973.0266723632812,-0.020376677495825724,136039320.0,0.24707017490598493,0.17074552291069356,0.19008892033755953,790340914627.0752,25.0615459990828
2021-01-05,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,245.0366668701172,246.94667053222656,239.73333740234372,241.22000122070312,96735600.0,5,0.7317368906131216,1.779998779296875,249.50466613769532,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.007317368906131216,0.07171471524309737,0.15134827093003822,0.18172048437349045,980.1466674804688,-0.33703961084086176,136039320.0,0.24707017490598493,0.17074552291069356,0.19008892033755953,796124130661.0107,25.24493057651607
2021-01-06,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,251.9933319091797,258.0,249.6999969482422,252.8300018310547,134100000.0,6,2.8390302267496503,6.9566650390625,249.50466613769532,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.028390302267496503,0.07171471524309737,0.15134827093003822,0.18172048437349045,1007.9733276367188,0.3862528376316474,136039320.0,0.24707017490598493,0.17074552291069356,0.19008892033755953,818726335372.9248,25.96164178630533
2021-01-07,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,272.0133361816406,272.3299865722656,258.3999938964844,259.2099914550781,154496700.0,7,7.9446563608581044,20.020004272460938,249.50466613769532,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.07944656360858104,0.07171471524309737,0.15134827093003822,0.18172048437349045,1088.0533447265625,0.15210067114093961,136039320.0,0.24707017490598493,0.17074552291069356,0.19008892033755953,883771329254.1504,28.024205011864233
2021-01-08,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,293.3399963378906,294.8299865722656,279.4633178710937,285.3333435058594,225166500.0,8,7.840299470467449,21.32666015625,261.1279998779297,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.07840299470467449,0.07171471524309737,0.15134827093003822,0.18172048437349045,1173.3599853515625,0.4574194788626553,151282680.0,0.24707017490598493,0.17074552291069356,0.19008892033755953,953061648101.8066,30.221386609012132
2021-01-11,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,270.39666748046875,284.8099975585937,267.8733215332031,283.1333312988281,177904800.0,11,-7.8214117215008265,-22.943328857421875,266.5559997558594,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,-0.07821411721500826,0.14480582093113673,0.15134827093003822,0.18172048437349045,1081.586669921875,-0.20989667645942,157680720.0,0.11156939541536293,0.17074552291069356,0.19008892033755953,878518772644.043,27.857647534374777
2021-01-12,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,283.14666748046875,289.3333435058594,275.7799987792969,277.0,138812100.0,12,4.7152947996006445,12.75,274.17799987792966,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.047152947996006445,0.1448687280635534,0.15134827093003822,0.18172048437349045,1132.586669921875,-0.21973943367463944,166096020.0,0.15552774650886003,0.17074552291069356,0.19008892033755953,919943522644.043,29.171217739854228
2021-01-13,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,284.8033447265625,286.8233337402344,277.3333435058594,284.2533264160156,99937500.0,13,0.5850950889994211,1.65667724609375,280.74000244140626,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,0.005850950889994211,0.14711912438707797,0.15134827093003822,0.18172048437349045,1139.21337890625,-0.2800519551249495,159263520.0,0.13020190879180804,0.17074552291069356,0.19008892033755953,925326067016.6016,29.341897102251444
2021-01-14,2021.0,,31536000000.0,6630000000.0,690000000.0,1994000000.0,0.25,0.21,1491000000.0,4636000000.0,0.2102359209,0.0632293252,0.02286276,3249000000.0,281.6666564941406,287.6666564941406,279.5833435058594,281.1300048828125,93798900.0,14,-1.1013523157297866,-3.136688232421875,282.67066650390626,266.0876663208008,274.2071662902832,258.8461331176758,236.06456733703612,70.22647329659884,-0.011013523157297866,0.13363940125080984,0.15134827093003822,0.18172048437349045,1126.6666259765625,-0.06142439024390245,147123960.0,0.03548840820824273,0.17074552291069356,0.19008892033755953,915134966949.4629,29.018739439036747
